
" The customer does not exist in the system anymore."," Kunden eksisterer ikke længere i systemet."
" You will need to navigate to your "," Du skal gå til din "
" [deleted]"," [slettet]"
" and "," og "
" and go to the "," og gå til "
" sections for your Hosted Checkout Pages."," afsnittene for dine hostede checkoutsider."
"%s (Default Template from Locale)","%s (standardskabelon fra sprogpakke)"
"%s cache type(s) disabled.","%s cachetyper deaktiveret."
"%s cache type(s) enabled.","%s cachetyper aktiveret."
"%s cache type(s) refreshed.","%s cachetyper opdateret."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolut sti eller relativ sti til Magentos rodfolder, eks. var/export)"
"(For US 2-letter state names)","(USA: navn på stat angives med 2 bogstaver)"
"(If left empty will be auto-generated)","(Hvis feltet ikke udfyldes, vil dets indhold blive autogenereret)"
"(Leave empty for first spreadsheet)","(Udfyldes ikke for første regneark)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter vil blive tilføjet/opdateret til denne butik hvis butikskolonnen er tom eller mangler i importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"(Starting with)","(Begynder med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Hvis 'Nej' vil kun mappede felter blive importeret. Under mapping brug 'kolonne1', 'kolonne2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du skal forøge php memory_limit før denne værdi ændres)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Hvis indeksering er i gang, stoppes den, og en ny indekseringsproces starter"
"* Required Fields","* obligatoriske felter"
"- Click on any of the time parts to increase it","- Klik på en vilkårlig tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af de ovenstående knapper for at vælge hurtigere."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for at vælge hurtigere."
"-- Not Selected --","-- Ikke valgt --"
"-- Please Select --","-- Vælg venligst --"
"-- Please Select Billing Agreement--","-- Vælg venligst betalingsaftale --"
"-- Please Select a Category --","-- Vælg venligst en kategori --"
"-- Please select --","-- Vælg venligst --"
"--Please Select--","--Vælg venligst--"
"1 Hour","1 time"
"1. set up","1. indstil"
"12 Hours","12 timer"
"12h AM/PM","12h AM/PM"
"2 Hours","2 timer"
"2. customize","2. tilpas"
"24 Hours","24 timer"
"24h","24h"
"2YTD","2ÅTD"
"6 Hours","6 timer"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Fejl 404</h1><p>Side ikke fundet.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> anmoder om adgang til din konto"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Bemærk</strong>: Captcha skelner mellem store og små bogstaver."
"A user with the same user name or email aleady exists.","Der eksisterer allerede en bruger med samme brugernavn eller e-mailadresse."
"API Key Confirmation","Bekræftelse af API-nøgle"
"API Key","API-nøgle"
"Abandoned Carts","Efterladte indkøbskurve"
"About the calendar","Om kalenderen"
"Access Denied","Adgang nægtet"
"Access denied","Adgang nægtet"
"Access denied.","Adgang nægtet."
"Account Created in:","Konto oprettet i:"
"Account Created on (%s):","Konto oprettet den (%s):"
"Account Created on:","Konto oprettet den:"
"Account Information","Kontodata"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Handling"
"Actions XML","Handlings-XML"
"Actions","Handlinger"
"Active From","Aktiv fra (dato inkl.)"
"Active To","Aktiv til (dato inkl.)"
"Active","Aktiv"
"Add Exception","Tilføj undtagelse"
"Add Field Mapping","Tilføj feltmapning"
"Add Field with URL:","Tilføj felt med URL:"
"Add More Templates","Tilføj flere skabeloner"
"Add New Image","Tilføj nyt billede"
"Add New Profile","Tilføj ny profil"
"Add New Role","Tilføj ny rolle"
"Add New Template","Tilføj ny skabelon"
"Add New URL Rewrite","Tilføj ny URL-omskrivning"
"Add New User","Tilføj ny bruger"
"Add New Variable","Tilføj variabel"
"Add New","Tilføj ny"
"Add Products","Tilføj produkter"
"Add URL Rewrite for a Category","Tilføj URL-omskrivning for en kategori"
