"Access denied.","Adgang nægtet."
"Can not find webservice adapter.","Kan ikke finde webservice-adapter."
"Client Session Timeout (sec.)","Klient session timeout (sek.)"
"Default Response Charset","Standard response tegnsæt"
"Email","Email"
"Enable WSDL Cache","Aktiver WSDL Cache"
"General Settings","Generelle indstillinger"
"Invalid webservice adapter specified.","Ugyldig webservice adapter angivet."
"Invalid webservice handler specified.","Ugyldig webservice handler angivet."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API-sektion"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Regler"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Brugere"
"Unable to login.","Kan ikke logge ind."
"User Name","Brugernavn"
"WS-I Compliance","WS-I understøttelse"
"Web Services","Webservices"
"Your account has been deactivated.","Din konto er blevet deaktiveret."
