"%s","%s"
"ACL Attribute Rules","ACL egenskabsregler"
"ACL Attributes Information","ACL egenskabsinformation"
"Add","Tilføj"
"Add Admin Role","Tilføj adminrolle"
"Add New Role","Tilføj ny rolle"
"Address Type","Adressetype"
"Admin","Admin"
"Allow","Tillad"
"An error occurred while deleting the role.","Fejl ved sletning af rollen."
"An error occurred while saving attribute rules.","Fejl ved sletning af egenskabsreglerne."
"An error occurred while saving role.","Fejl ved lagring af rollen."
"Api Rules Information","Api regelinformation"
"Assigned","Tildelt"
"Associate to Website","Tildel website"
"Attribute Rules Information","Egenskabsregler"
"Attribute Set","Egenskabssæt"
"Attributes","Egenskaber"
"Automatically Return Credit Memo Item to Stock","Læg automatisk kreditnota-varer tilbage på lager"
"Back","Tilbage"
"Backorders","Restordrer"
"Base Currency","Basisvaluta"
"Base Customer Balance","Basis kundebalance"
"Base Discount","Basis rabat"
"Base Discount Amount","Basis rabatbeløb"
"Base Item Subtotal","Basis vare-subtotal"
"Base Item Subtotal Including Tax","Basis vare-subtotal inkl. moms"
"Base Original Price","Basis originalpris"
"Base Price","Basispris"
"Base Price Including Tax","Basispris inkl. moms"
"Base Shipping","Basis levering"
"Base Shipping Discount","Basis leveringsrabat"
"Base Shipping Tax","Basis leveringsmoms"
"Base Subtotal","Basis subtotal"
"Base Subtotal Including Tax","Basis subtotal inkl. moms"
"Base Tax Amount","Basis momsbeløb"
"Base Total Due","Basis total gæld"
"Base Total Paid","Basis total betalt"
"Base Total Refunded","Basis total refunderet"
"Buy Now URL","Køb nu-URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan opdeles i flere kasser til levering"
"Canceled Qty","Annulleret mængde"
"Catalog","Katalog"
"Catalog Product","Katalogprodukt"
"CatalogInventory","CatalogInventory"
"Category ID","Kategori-ID"
"City","By"
"Company","Firma"
"Country","Land"
"Coupon Code","Rabatkode"
"Create","Opret"
"Create Permanent Redirect for old URL","Opret permanent redirect for gammel URL"
"Created From","Oprettet fra"
"Customer","Kunde"
"Customer Address","Kundeadresse"
"Customer Address ID","Kundeadresse-ID"
"Customer Balance","Kundebalance"
"Customer First Name","Kunde fornavn"
"Customer ID","Kunde-ID"
"Customer Last Name","Kunde efternavn"
"Customer Middle Name","Kunde mellemnavn"
"Customer Prefix","Kunde-præfix"
"Customer Suffix","Kunde-suffix"
"Default Image","Standardbillede"
"Delete","Slet"
"Deny","Afvist"
"Disable automatic group change based on VAT ID","Deaktiver automatisk gruppeændring ud fra momsnummer"
"Discount","Rabat"
"Discount Amount","Rabatbeløb"
"Discount Description","Rabatbeskrivelse"
"Edit","Rediger"
"Edit %s ACL attribute rules","Rediger %s ACL egenskabsregelr"
"Edit Role","Rediger rolle"
