"* Required Fields","* Påkrævede felter"
"-- Select --","-- Vælg --"
"Add New Option","Tilføj ny mulighed"
"Add Selection","Tilføj udvalg"
"As Low as","Ned til"
"As low as","Ned til"
"Bundle Items","Underprodukter"
"Bundle Product","Sammensat produkt"
"Buy %1$s with %2$s discount each","Køb %1$s med %2$s rabat på hver"
"Catalog Product View (Bundle)","Produktside (bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Udvælg..."
"Close","Luk"
"Default","Standard"
"Default Qty","Standardmængde"
"Default Title","Standardtitel"
"Drop-down","Drop-down"
"Dynamic","Dynamisk"
"Excl. Tax","Ekskl. moms"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gavehilsen"
"Incl. Tax","Inkl. moms"
"Input Type","Inputtype"
"Is Required","er påkrævet"
"Message:","Besked:"
"Multiple Select","Multivalg"
"N/A","N/A"
"No options of this product are available.","Ingen valgmuligheder er tilgængelige for dette produkt."
"None","Ingen"
"Percent","Procent"
"Percent Discount","Procentrabat"
"Please Select Products to Add","Vælg produkter at tilføje"
"Please enter search conditions to view products.","Indtast søgebetingelser for at vise produkter."
"Please select options for product.","Vælg muligheder for produktet."
"Please specify product option(s).","Angiv valgmuligheder for produkt"
"Position","Position"
"Price Range","Prisinterval"
"Price Type","Pristype"
"Price as configured","Pris som konfigureret"
"Qty:","Antal:"
"Radio Buttons","Radioknapper"
"Required options are not selected.","Obligatoriske muligheder er ikke valgt."
"Selected required options are not available.","De valgte muligheder er ikke tilgængelige."
"Separately","Separat"
"Ship Bundle Items","Beregn levering for underprodukter"
"Shipment","Levering"
"Store View Title","Titel på forretningsvisning"
"There is no defined renderer for ""%s"" option type.","Der er ikke defineret nogen rendering for muligheden ""%s"""
"This product is also part of bundle(s)","Dette produkt er også en del af de/det sammensatte produkt(er)"
"To","Til"
"To:","Til:"
"Together","Sammen"
"Use Default Value","Brug standardværdi"
"User Defined Qty","Brugerdefineret antal"
