"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"%s and above","%s og derover"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"* Required Fields","* Påkrævede felter"
"-- Please Select --","-- Vælg venligst --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard. Tøm blok-HTML-cachen for at opdatere med det samme."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Advarsel!</strong> Aktivering af MAP skjuler alle produktpriser fra frontend."
"A group with the same name already exists.","En gruppe med dette navn eksisterer allerede."
"A name is required","Navn skal udfyldes"
"A product type is not defined for the indexer.","En produkttype er ikke defineret for indekseringen."
"ALL GROUPS","ALLE GRUPPER"
"AM","AM"
"Action","Handling"
"Actual Price","Faktisk pris"
"Add","Tilføj"
"Add Attribute","Tilføj egenskab"
"Add Design Change","Tilføj designændring"
"Add Group","Tilføj gruppe"
"Add Group Price","Tilføj kundegruppepris"
"Add New","Tilføj ny"
"Add New Attribute","Tilføj ny egenskab"
"Add New Attribute Set","Tilføj nyt egenskabssæt"
"Add New Group","Tilføj ny gruppe"
"Add New Images","Tilføj nye billeder"
"Add New Option","Tilføj ny valgmulighed"
"Add New Row","Tilføj række"
"Add New Search Term","Tilføj nyt søgeord"
"Add New Set","Tilføjt nyt sæt"
"Add Product","Tilføj produkt"
"Add Product To Websites","Tilføj produkt til websites"
"Add Root Category","Tilføj rodkategori"
"Add Subcategory","Tilføj underkategori"
"Add Tax","Tilføj moms"
"Add Tier","Tilføj flerstykspris"
"Add attribute into attribute set","Tilføj egenskab til egenskabssæt"
"Add group into attribute set","Tilføj gruppe til egenskabssæt"
"Add new custom option into product","Tilføj ny tilpasningsmulighed til produktet"
"Add new values into custom option","Tilføj nye værdier til tilpasningsmuligheden"
"Add option","Tilføj valgmulighed"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
