"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d prisregler for katalog baseret på egenskaben ""%s"" er deaktiveret."
"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"An error occurred while deleting the rule. Please review the log and try again.","Fejl ved sletning af reglen. Kontroller loggen og prøv igen."
"An error occurred while saving the rule data. Please review the log and try again.","Fejl ved lagring af reglen. Kontroller loggen og prøv igen."
"Apply","Anvend"
"Apply Rules","Kør regler"
"Attribute Set","Sæt af egenskaber"
"By Fixed Amount","Som fast beløb"
"By Percentage of the Original Price","Som procent af originalprisen"
"Catalog","Katalog"
"Catalog Price Rule","Prisregel for katalog"
"Catalog Price Rules","Prisregler for katalog"
"Category","Kategori"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Betingelser (udfyld ikke for produkter)"
"Conditions Combination","Betingelseskombination"
"Customer Groups","Kundegrupper"
"Date Expire","Udløbsdato"
"Date From","Dato fra"
"Date Start","Startdato"
"Date To","Dato til"
"Description","Beskrivelse"
"Discount Amount","Rabatbeløb"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"Enable Discount to Subproducts","Aktiver rabat for underprodukter"
"From Date","Startdato"
"General Information","Indhold"
"ID","ID"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nej"
"Options","Ekstra valgmuligheder"
"Priority","Prioritet"
"Product Attribute","Produktegenskab"
"Promotions","Prisregler"
"Rule Information","Regeldata"
"Rule Name","Navn"
"Save and Apply","Gem og kør"
"Save and Continue Edit","Gem og fortsæt redigering"
"Status","Status"
"Stop Further Rules Processing","Stop regelkørsel herefter"
"The rule has been deleted.","Reglen er slettet."
"The rule has been saved.","Reglen er gemt."
"The rules have been applied.","Reglerne er anvendt."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Der er regler som er ændret men ikke kørt. Klik på Kør regler for at sætte reglerne i gang med det samme."
"This rule no longer exists.","Denne regel eksisterer ikke længere"
"To Date","Udløbsdato"
"To Fixed Amount","Til fast beløb"
"To Percentage of the Original Price","Til procent af originalprisen"
"Unable to apply rules.","Reglerne kunne ikke køres"
"Unable to find a rule to delete.","Kunne ikke finde en regel at slette."
"Update Prices Using the Following Information","Opdater priser med følgende information"
"Update product's %s %s: %s","Opdater produkter %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Forkert regel angivet."
"Yes","Ja"
