"%s and greater","%s og større"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d post(er)</strong> blev fundet med følgende søgekriterier"
"Advanced Search","Avanceret søgning"
"Advanced Search Form","Avanceret søgeformular"
"Advanced Search Result","Avanceret søgeresultat"
"All","Alle"
"Applies for ""Like"" search type only.","Gælder kun for søgetypen ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Brug lagdelt navigation hvis søgeresultaterne er færre end"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","En egenskabsindstilling relateret til søgeindekset er ændret. Kør venligst <a href=""%s"">Genopbyg søgeindeks</a>-processen"
"Autogenerated Site Map","Automatisk genereret sitemap"
"Catalog Advanced Search","Avanceret søgning"
"Catalog Search","Katalogsøgning"
"Catalog Search Index","Søgeindeks"
"Don't see what you're looking for?","Kan du ikke finde hvad du søger?"
"Enter ""0"" to enable layered navigation for any number of results.","Skriv ""0"" for at bruge filtreret navigation uanset antal."
"Go","Kør"
"Go to Home Page","Gå til forside"
"Grid","Tabel"
"Home","Forside"
"List","Liste"
"Maximum Query Length","Makslængde af søgning"
"Maximum Query Words Count","Maks. antal ord i søgning"
"Maximum Search query length is %s. Your query was cut.","Makslængde af søgning er %s. Din søgning blev forkortet."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maksimum antal ord er %1$s. En del af din søgning er skåret væk: %2$s."
"Minimal Query Length","Mindstelængde af søgning"
"Minimum Search query length is %s","Mindste længde for søgning er %s"
"Modify your search","Modificer din søgning"
"No","Nej"
"No items were found using the following search criteria.","Der blev ikke fundet nogen varer med følgende søgekriterier."
"Please specify at least one search term.","Angiv mindst ét søgeudtryk."
"Popular Search Terms","Populære søgeudtryk"
"Quick Search Form","Hurtigsøgning"
"Rebuild Catalog product fulltext search index","Genopbyg fuldtekst-søgeindeks for produkter"
"Relevance","Relevans"
"Results","Resultater"
"Search","Søg"
"Specified date is invalid.","Den angivne dato er ugyldig."
"Search Settings","Indstillinger"
"Search Terms","Søgeord"
"Search Type","Søgningstype"
"Search entire store here...","Søg efter varer her..."
"Search results for '%s'","Søgeresultat for '%s'"
"Search results for: '%s'","Søgeresultat for: '%s'"
"Search:","Søg:"
"Subscribe to Feed","Tilmeld feed"
"There are no search terms available.","Der er ingen søgninger"
"Yes","Ja"
"Your search returns no results.","Vi fandt desværre ingen varer, som passer til dine søgekriterier."
"up to %s","op til %s"
