"-- Please Select --","-- Vælg venligst --"
"Add to Cart","Føj til kurv"
"Choose an Option...","Choose an Option..."
"Configurable Swatches","Konfigurerbare paletter"
"Enabled","Aktiver"
"General Settings","Generelle indstillinger"
"Height","Højde"
"In Stock","På lager"
"Innermost dimensions, not including border, in pixels","Inderste mål, ekskl. ramme. Angives i pixels"
"Out of Stock","Ikke på lager"
"Previous","Forrige"
"Product Attribute to Use for Swatches in Product Listing","Produktegenskab, der anvendes til paletter i produktlister"
"Product Attributes to Show as Swatches in Product Detail","Produktegenskab, der vises som paletter i  produktvisning"
"Remove This Item","Fjern dette produkt"
"Swatch Dimensions in Layered Navigation","Palettens mål i filtreret navigation"
"Swatch Dimensions in Product Listing","Palettens mål i produktlister"
"Swatch Dimensions on Product Detail Page","Palettens mål på produktsider"
"Width","Bredde"
