"1.5.0.0 & later","1.5.0.0 & nyere"
"Action","Handling"
"Add Author","Tilføj forfatter"
"Add Contents Path","Tilføj indholdssti"
"Add PHP Extension dependency","Tilføj PHP extension-afhængighed"
"Add Package dependency","Tilføj pakkeafhængighed"
"Add files","Tilføj filer"
"Authors","Forfattere"
"Channel","Kanal"
"Contents","Indhold"
"Create Extension Package","Opret extension-pakke"
"Dependencies","Afhængigheder"
"Description","Beskrivelse"
"Edit Extension","Rediger extension"
"Email","Email"
"Extension","Extension"
"Extensions","Extensions"
"Failed to create the package.","Kunne ikke oprette pakke."
"Failed to load the package data.","Kunne ikke indlæse pakkedata."
"Failed to save the package.","Kunne ikke gemme pakke."
"Files","Filer"
"Folder","Mappe"
"Ignore","Ignorer"
"Include","Inkluder"
"License","Licens"
"License URI","Licens-URI"
"Load Local Package","Indlæs lokal pakke"
"Load local Package","Indlæs lokal pakke"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maksimum"
"Min","Min"
"Minimum","Minimum"
"Name","Navn"
"New Extension","Ny extension"
"PHP Version","PHP version"
"Package","Pakke"
"Package Extensions","Pak extensions"
"Package File Name","Pakke-filnavn"
"Package Info","Pakkeinfo"
"Packages","Pakker"
"Path","Sti"
"Pre-1.5.0.0","Før 1.5.0.0"
"Release Info","Udgivelsesinfo"
"Remove","Fjern"
"Save As...","Gem som..."
"Save Data and Create Package","Gem data og opret pakke"
"Save package with custom package file name","Gem pakke med eget defineret filnavn"
"Summary","Resumé"
"Supported releases","Understøttede udgivelser"
"System","System"
"Target","Mål"
"The package %s data has been loaded.","Pakkedata %s er indlæst."
"The package data has been saved.","Pakkedata er gemt."
"There was a problem saving package data","Der opstod et problem med at gemme pakkedata."
"Type","Type"
"User","Bruger"
