"%s already exist.","%s eksisterer allerede"
"%s already exists.","%s eksisterer allerede"
"%s","%s"
"-- Please Select --","-- Vælg venligst --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Advarsel!</strong> Når du bruger CDN fungerer JavaScript i nogle tilfælde ikke ordentligt, hvis CDN ikke er på dit subdomæne"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Advarsel!</strong> Hvis du bruger forretningskoder i URLs fungerer systemet i nogle tilfælde ikke korrekt, hvis der er angivet URLs uden forretningskoder i tredjeparts-tjenester, f.eks. PayPal."
"A category object is required for determining the product request path.","Der skal bruges et kategoriobjekt for at beregne produktstien."
"Add Block Names to Hints","Tilføj bloknavne til hints"
"Add Secret Key to URLs","Tilføj nøgle til URLs"
"Add Store Code to Urls","Tilføj forretningskode til URLs"
"Admin Base URL","Admin rod-URL"
"Admin User Emails","Admin bruger-e-mails"
"Admin","Admin"
"Advanced","Avanceret"
"Allow Countries","Tillad lande"
"Allow Magento Backend to run in frame","Tillad Magento administrationen at køre i frame"
"Allow Symlinks","Tillad symlinks"
"Allowed IPs (comma separated)","Tilladte IP'er (kommasepareret)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tilladte filtyper: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Ikke alle browsere understøtter alle disse formater!"
"Allowed file types: jpeg, gif, png.","Tilladte filtyper: jpeg, gif, png."
"Allowed file types: jpg, jpeg, gif, png. To make logo look good on high-resolution displays, upload an image that is 2x normal size and then specify 1x dimensions in width/height fields below.","Tilladte filtyper: jpg, jpeg, gif, png. For at få logoet til at se godt ud på højopløste skærme, kan du uploade logoet i 2x størrelse og så angive 1x størrelse i bredde- og højdefelterne nedenfor."
"Allows customers to stay logged in when switching between different stores.","Tillad kunder at forblive logget ind når de skifter mellem forretninger."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativ tekst til næste-linket i sideinddelingen. Hvis feltet er tomt benyttes en standardpil."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativ tekst til forrige-linket i sideinddelingen. Hvis feltet er tomt benyttes en standardpil."
"An error occurred while saving. Please review the error log.","Fejl ved lagring. Kontroller loggen og prøv igen."
"Anchor Text for Next","Linktekst for næste"
"Anchor Text for Previous","Linktekst for forrige"
"Anchor symbol (#) is not supported in request path","Firkant (#) er ikke understøttet i forespørgselssti"
"Anchor symbol (#) is not supported in url rewrite suffix","Firkant (#) er ikke understøttet i URL-omskrivnings-suffix"
"Are you sure?","Er du sikker?"
"Auto-redirect to Base URL","Redirect automatisk til rod-URL"
"Back","Tilbage"
"Backup Options","Backupmuligheder"
"Base JavaScript URL","Base JavaScript-URL"
"Base Link URL","Base link-URL"
"Base Media URL","Base medie-URL"
"Base Secure URL","Base sikker URL"
"Base Skin URL","Base skin-URL"
"Base URL","Rod URL"
"Base Unsecure URL","Base usikker URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Før du ændrer butiksvisningen så vær sikker på at koden ikke bliver brugt i index.php"
"Before modifying the website code please make sure that it is not used in index.php.","Vær sikker på at website-koden ikke er brugt i index.php før du redigerer den"
"Block with name ""%s"" already exists","Blok med navnet ""%s"" eksisterer allerede"
"Browser Capabilities Detection","Detektion af browseregenskaber"
"CSS Settings","CSS-indstillinger"
"Cache Storage Management","Administration af cachelager"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cachelageret kan indeholde anden data. Er du sikker på at du vil tømme det?"
"Can't retrieve request object","Kan ikke hente det efterspurgte objekt"
"Can\'t retrieve entity config: %s","Kan ikke hente enhedskonfiguration: %s"
"Cancel","Annuller"
"Cannot complete this operation from non-admin area.","Kan ikke udføre denne handling fra et ikke-adminområde."
"Card type does not match credit card number.","Korttype stemmer ikke overens med kortnummer."
"Code","Kode"
"Controller file was loaded but class does not exist","Controller-filen blev indlæst, men klassen findes ikke"
"Cookie Domain","Cookie domæne"
"Cookie Lifetime","Cookie levetid"
"Cookie Path","Cookie sti"
"Cookie Restriction Mode","Cookie-bekræftelse"
"Copyright","Copyright"
"Core","Core"
"Countries Options","Indstillinger for lande"
"Country","Land"
"Create Store View","Opret visning af forretning"
"Create Store","Opret forretning"
"Create Website","Opret website"
"Credit card number does not match credit card type.","Kortnummer stemmer ikke overens med korttype."
"Current Package Name","Navn på nuværende pakke"
"Custom Admin Path","Alternativ adminsti"
"Custom Admin URL","Alternativ admin URL"
"Custom Design","Eget design"
"Custom Email 1","Egen e-mail 1"
"Custom Email 2","Egen e-mail 2"
"Custom Variables","Egne variable"
"Custom1 Contact Email","Custom1 kontakt-email"
"Custom1 Contact Name","Custom1 kontaktnavn"
"Custom2 Contact Email","Custom2 kontakt-email"
"Custom2 Contact Name","Custom2 kontaktnavn"
"Customer Support","Kundeservice"
"Dashboard","Oversigt"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Dato/tidsformatet ""%s"" understøttes ikke."
"Debug","Debug"
"Default Country","Standardland"
"Default Description","Standardbeskrivelse"
"Default Keywords","Standardnøgleord"
"Default No-route URL","Standard 404/no-route URL"
"Default Pages","Standardsider"
"Default Robots","Standardrobotter"
"Default Store View","Standardvisning af forretning"
"Default Store","Standard-forretning"
"Default Title","Standardtitel"
"Default Web URL","Standard web-URL"
"Default","Standard"
"Delete Store View","Slet visning af forretning"
"Delete Store","Slet forretning"
"Delete Website","Slet website"
"Delete","Slet"
