"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Handlings-XML er ugyldig."
"Access denied to destination folder ""%s"".","Adgang nægtet til destinationsmappe ""%s""."
"An error occurred while opening file: ""%s"".","Fejl ved åbning af filen: ""%s""."
"Could not load file: ""%s"".","Kunne ikke indlæse fil: ""%s""."
"Could not save file: %s.","Kunne ikke gemme fil: %s."
"Declared adapter %s was not found.","Adapteren %s findes ikke."
"Destination folder ""%s"" does not exist or there is no access to create it.","Destinationsmappen ""%s"" eksisterer ikke eller kan ikke oprettes."
"Destination folder ""%s"" is not a directory.","Destinationsmappen ""%s"" er ikke en mappe."
"Destination folder ""%s"" is not writable.","Destinationsmappen ""%s"" er ikke skrivbar."
"Done","Færdig"
"Dry run set, stopping execution.","Dry run set, stopper kørsel."
"ETA: %s","Forventet ankomsttidspunkt: %s"
"Error in field mapping: field list for mapping is not defined.","Fejl i felt-mapning: Feltliste til mapning er ikke defineret."
"File ""%s"" does not exist.","Filen ""%s"" eksisterer ikke."
"Found %d rows.","%d rækker fundet."
"Less than a minute","Under et minut"
"Loaded successfully: ""%s"".","Indlæst: ""%s""."
"Memory Used: %s","Hukommelsesforbrug: %s"
"Method ""%s"" not defined in adapter %s.","Metoden ""%s"" er ikke defineret i adapteren %s."
"Method ""%s"" was not defined in adapter %s.","Metoden ""%s"" er ikke defineret i adapteren %s."
"Please declare ""adapter"" and ""method"" nodes first.","Definer ""adapter"" og ""method"" først."
"Processed records: %s","Poster behandlet: %s"
"Profile with the same name already exists.","Profil med samme navn eksisterer allerede."
"Saved successfully: ""%s"" [%d byte(s)].","Gemt: ""%s"" [%d byte(s)]."
"Sheet 1","Ark 1"
"Skip undefined row.","Spring over udefineret række."
"Starting %s :: %s","Starter %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Destinationsmappen ""%s"" eksisterer ikke eller der er ikke adgang til at oprette den."
"Total records: %s","Samlet antal poster: %s"
"hour","time"
"hours","timer"
"minute","minut"
"minutes","minutter"
