"-- Please select --","-- Vælg venligst --"
"Allowed Currencies","Tilladte valutaer"
"Base Currency","Basisvaluta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basisvaluta bruges til alle transaktioner. Anvendelsesområde defineres af området for katalogpriser. (""Katalog"" > ""Priser"" > ""Anvendelsesområde for katalogpriser"")."
"Can\'t convert rate from ""%s-%s"".","Kan ikke konvertere kurs fra ""%s-%s""."
"Cannot retrieve rate from %s.","Kan ikke hente kurs fra %s"
"Connection Timeout in Seconds","Forbindelsetimeout i sekunder"
"Continue &raquo;","Fortsæt &raquo;"
"Country","Land"
"Country Api","Lande-API"
"Country and Format Type combination should be unique","Kombination af land og formattype skal være unik"
"Currency","Valuta"
"Currency Options","Valutaindstillinger"
"Currency Setup","Valutaopsætning"
"Currency Update Warnings","Advarsler ved valutaopdatering"
"Default Display Currency","Standard katalogvaluta"
"Directory","Register"
"Display not required State","Vis ikke-påkrævet delstat"
"Enabled","Aktiv"
"Error Email Recipient","Fejl: e-mailmodtager"
"Error Email Sender","Fejl: e-mailafsender"
"Error Email Template","Fejl: e-mailskabelon"
"FATAL ERROR:","FATAL FEJL:"
"Frequency","Frekvens"
"Installed Currencies","Installerede valutaer"
"Invalid Import Service specified.","Ugyldig importservice."
"Invalid country code: %s","Ugyldig landekode: %s"
"Invalid rates received","Ugyldige kurser blev modtaget"
"Invalid target currency.","Ugyldig valuta"
"List of countries","Landeliste"
"List of regions in specified country","Liste over regioner i landet"
"Postal Code is Optional for the following countries","Postnummer er ikke obligatorisk for følgende lande"
"Region","Region"
"Region Api","Regions-API"
"Scheduled Import Settings","Indstillinger for planlagt import"
"Select Your Currency","Vælg valuta"
"Service","Service"
"Start Time","Starttidspunkt"
"State is required for","Delstat er påkrævet for"
"State/Province","Region/delstat"
"States Options","Delstatsindstillinger"
"Unable to initialize the import model.","Kunne ikke starte importmodellen."
"Undefined rate from ""%s-%s"".","Udefineret sats fra ""%s-%s""."
"WARNING:","ADVARSEL:"
"Webservicex","Webservicex"
"Your current currency is: %s","Nuværende valuta: %s"
