"Add","Tilføj"
"Add New Row","Tilføj ny række"
"Add links and samples to downloadable product","Tilføj links og prøver til downloadprodukt"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanumeriske tegn, bindestregn og underscore anbefales til filnavne. Ugyldige tegn erstattes af \'_\'."
"An error occurred while getting the requested content.","Fejl ved indlæsning af indholdet."
"An error occurred while getting the requested content. Please contact the store owner.","Fejl ved indlæsning af indholdet. Kontakt butiksejeren."
"An error occurred while saving the file(s).","Der opstod en fejl ved lagring af fil(erne)."
"Availability:","Tilgængelighed:"
"Back","Tilbage"
"Canceled","Annulleret"
"Cannot connect to remote host, error: %s.","Kan ikke forbinde til serveren: %s."
"Catalog Product View (Downloadable)","Produktside (downloadprodukter)"
"Category API","Kategori-API"
"Customer My Account Downloadable Items","Min konto, downloadprodukter"
"Date","Dato"
"Default Link Title","Standardlinktitel"
"Default Maximum Number of Downloads","Standardantal maksimale downloads"
"Default Sample Title","Standardprøvetitel"
"Delete","Slet"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deaktiver gæstebestilling hvis kurven indeholder downloadprodukter"
"Downloadable Information","Downloadinformation"
"Downloadable Product","Downloadprodukt"
"Downloadable Product Options","Muligheder for downloadprodukt"
"Downloadable Product Section","Downloadprodukt-sektion"
"Edit","Rediger"
"Edit item parameters","Rediger parametre"
"Excl. Tax","Ekskl. moms"
"File","Fil"
"From:","Fra:"
"Gift Message","Gavebesked"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine downloadprodukter</a>"
"Guest checkout will only work with shareable.","Gæstebestilling virker kun med deling"
"In stock","På lager"
"Incl. Tax","Inkl. moms"
"Invalid download URL host.","Ugyldig URL-host for download"
"Invalid download URL scheme.","Ugyldigt URL-scheme for download"
"Invalid download link type.","Ugyldig linktype for download"
"Invoiced","Faktureret"
"Links can be purchased separately","Links kan købes separat"
"List","Liste"
"Max. Downloads","Max. downloads"
"Message:","Besked:"
"Move","Flyt"
"My Downloadable Products","Mine downloadprodukter"
"Open Links in New Window","Åbn links i nyt vindue"
"Order #","Ordre #"
"Order Item Status to Enable Downloads","Ordrevarens status for at aktivere downloads"
"Ordered","Bestilt"
"Out of stock","Ikke på lager"
"Pending","Afventende"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Log ind for at downloade dit produkt eller køb <a href=""%s"">%s</a>."
"Please log in to download your product.","Log ind for at downloade dit produkt."
"Please set resource file and link type.","Indstil venligst ressourcefil og linktype"
"Please specify product link(s).","Angiv venligst produktlink(s)."
"Price","Pris"
"Product downloadable links","Downloadlinks for produkt"
"Qty","Antal"
"Refunded","Refunderet"
"Remaining Downloads","Resterende downloads"
"Remove","Fjern"
"Remove Item","Fjern vare"
"Remove links and samples from downloadable product","Fjern links og prøver fra downloadprodukt"
"Requested link does not exist.","Linket eksisterer ikke."
"Retrieve links and samples list from downloadable product","Hent links og prøver fra downloadprodukt"
"Sample","Eksempel"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Shareable","Deling muligt"
"Shipped","Afsendt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Der skete desværre en fejl, og indholdet kan ikke indlæses. Kontakt vores forretning."
"Sort Order","Sorteringsrækkefølge"
"Start Download","Start download"
"Status","Status"
"The file does not exist.","Filen eksisterer ikke."
"The link has expired.","Linket er udløbet."
"The link is not available.","Linket er ikke tilgængeligt."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Der er valgt filer som ikke er uploadet endnu. Upload eller fjern dem først."
"Title","Titel"
"To:","Til:"
"U","U"
"Unlimited","Ubegrænset"
"Use Content-Disposition","Brug Content-Disposition"
"Use Default Value","Brug standardværdi"
"View Order","Vis ordre"
"What's this?","Hvad er dette?"
"You have not purchased any downloadable products yet.","Du har endnu ikke købt nogen downloadprodukter."
"attachment","vedhæftning"
"download","download"
"inline","inline"
"sample","eksempel"
