"""%s"" contains not only digit characters.","""%s"" indeholder andet end tal."
"""%s"" does not fit the entered date format.","""%s"" passer ikke med datoformatet."
"""%s"" exceeds the allowed file size.","""%s"" overstiger den tilladte filstørrelse."
"""%s"" exceeds the allowed length.","""%s"" overstiger den tilladte længde."
"""%s"" has not only alphabetic and digit characters.","""%s"" indeholder andet end bogstaver og tal."
"""%s"" has not only alphabetic characters.","""%s"" indeholder andet end bogstaver."
"""%s"" height exceeds allowed value of %s px.","""%s"" højden overstiger den tilladte værdi på %s px."
"""%s"" invalid type entered.","""%s"" ugyldig type."
"""%s"" is a required value.","""%s"" er en obligatorisk værdi."
"""%s"" is an empty string.","""%s"" er en tom streng."
"""%s"" is not a valid URL.","""%s"" er ikke en gyldig URL."
"""%s"" is not a valid date.","""%s"" er ikke en gyldig dato."
"""%s"" is not a valid email address.","""%s"" er ikke en gyldig e-mailadresse."
"""%s"" is not a valid file","""%s"" er ikke en gyldig fil"
"""%s"" is not a valid file extension.","""%s"" er ikke en gyldig filendelse."
"""%s"" is not a valid file.","""%s"" er ikke en gyldig fil."
"""%s"" is not a valid hostname.","""%s"" er ikke et gyldigt hostname."
"""%s"" is not a valid image format","""%s"" er ikke et gyldigt billedformat"
"""%s"" length must be equal to or greater than %s characters.","""%s"" længden skal være mindst %s tegn."
"""%s"" length must be less than or equal to %s characters.","""%s"" længden skal være højst %s tegn."
"""%s"" width exceeds allowed value of %s px.","""%s"" højden overstiger den tilladte værdi på %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ligner et DNS hostname, men der mangler et TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' ligner et DNS hostname, men TLD genkendes ikke"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' ligner et DNS hostname, men navnestrukturen stemmer ikke med strukturen for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' ligner et DNS hostname, men indeholder en ugyldig bindestreg"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' ligner et DNS hostname, men den angivne punycode notation kan ikke dekodes"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' ligner navnet på et lokalnetværk, hvilket ikke er tilladt"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' ligner en IP-adresse, men IP-adresser kan ikke bruges"
"'%value%' does not appear to be a valid URI hostname","'%value%' ligner ikke et gyldigt URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' ligner ikke et gyldigt navn på et lokalnetværk"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' opfylder ikke strukturen for et DNS hostname"
"A joint field with this alias (%s) is already declared","Der er allerede defineret et joint field med dette alias (%s)"
"Add Option","Tilføj mulighed"
"An error occurred while loading a record, aborting. Error: %s","Fejl ved indlæsning. Fejl: %s"
"An error occurred while loading the collection, aborting. Error: %s","Fejl ved indlæsning af kollektionen: %s"
"An error occurred while saving a record, aborting. Error: ","Fejl ved lagring: "
"Attempt to add an invalid object","Forsøg på at tilføje et ugyldigt objekt"
"Attribute '%s' used in configurable products","Egenskab '%s' brugt i konfigurerbare produkter"
"Attribute Code","Egenskabskode"
"Attribute Label","Egenskabslabel"
"Attribute Properties","Indstillinger for egenskab"
"Attribute object is undefined","Egenskabsobjekt er ikke defineret"
"Attribute set with the ""%s"" name already exists.","Egenskabssæt med navnet ""%s"" eksisterer allerede"
"Attribute with the same code","Egenskab med samme kode"
"Can\'t create table: %s","Kan ikke oprette tabel: %s"
"Catalog Input Type for Store Owner","Inputtype for administrator"
"Current module EAV entity is undefined","EAV-entitet er ikke defineret for dette modul"
"Current module pathname is undefined","Pathname er ikke defineret for dette modul"
"Data integrity: No header row found for attribute","Data-integritet: Hovedrække blev ikke fundet for egenskaben"
"Date","Dato"
"Decimal Number","Decimaltal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Standardproduktsorteringen eksisterer ikke blandt de tilgængelige sorteringer"
"Default Value","Standardværdi"
"Default option value is not defined","Standardværdi skal angives"
"Delete","Slet"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Entitetsliste (entity collection) blev forventet"
"Entity collections expected.","Entitetslister (entity collections) blev forventet"
"Entity instance is not defined","Entitet-instans er ikke defineret"
"Entity is not initialized","Entitet kunne ikke initialiseres"
"Entity object is undefined","Entitetsobjekt er ikke defineret"
"Failed to load node %s from config","Kunne ikke indlæse punktet %s fra konfigurationen"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Til internt brug. Skal være unikt og uden mellemrum. Maksimal længde for egenskabskoden er %s tegn"
"Form Element with the same attribute","Formularelement med samme egenskab"
"Form Fieldset with the same code","Feltsæt med samme kode"
"Form Type with the same code","Formulartype med samme kode"
"Form code is not defined","Formularkode er ikke defineret"
"Frontend label is not defined","Frontendlabel ikke defineret"
"Input Validation for Store Owner","Inputvalidering for administrator"
"Integer Number","Heltal"
"Invalid EAV attribute.","Ugyldig EAV-egenskab"
"Invalid alias, already exists in joint attributes","Ugyldigt alias, findes allerede i joint egenskaber"
"Invalid attribute name: %s","Ugyldigt egenskabsnavn: %s"
"Invalid attribute requested: %s","Ugyldig egenskab: %s"
