"* Select shipping method","* Vælg forsendelsesmetode"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />Advarsel: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Advarsel!</strong> Denne indstilling deaktiverer forretningens fragtberegning. Med denne indstilling ignorerer Google API ethvert forsøg på at påvirke fragtpriserne."
"A virtual item to reflect the discount total","En virtuel vare der afspejler rabatbeløbet"
"A virtual item to reflect the tax total","En virtuel vare der afspejler momsbeløbet"
"AVS Status: %s","AVS Status: %s"
"Add Shipping Method","Tilføj leveringsmetode"
"Allowed Methods","Tilladte metoder"
"Amount: %s","Beløb: %s"
"Auto-generated from GoogleCheckout Charge","Autooprettet fra Google Checkout betaling"
"Buyer Account Age: %s days","Købers konto er: %s dage gammel"
"CC Partial: xxxx-%s","CC Delvis: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Fragtselskabs udregnede metoder"
"Cart Discount","Kurv rabat"
"Checkout Image Style","Bestillingens billedstil"
"Commercial","Kommerciel"
"Continue Shopping URL","Fortsæt med at handle-URL"
"Credit memo has been created automatically","Kreditnota er oprettet automatisk"
"Debug","Debug"
"Default Package Height (in)","Standardpakkehøjde (in)"
"Default Package Length (in)","Standardpakkelængde (in)"
"Default Package Width (in)","Standardpakkebredde (in)"
"Default Price for Methods","Standardpris for metoder"
"Default price:","Standardpris:"
"Delivery Address Category","Kategori for leveringsadresse"
"Delivery Schedule","Leveringsplan"
"Description-based delivery","Beskrivelsesbaseret levering"
"Disable Default Tax Tables","Deaktiver standardmomstabeller"
"Discount Tax","Rabatmoms"
"Eligible for Protection: %s","Egnet til forsikring: %s"
"Email delivery","Email-levering"
"Enable","Aktiver"
"Enable Carrier Calculated","Aktiver fragtselskabsudregning"
"Enable Digital Delivery","Aktiver digital levering"
"Enable Flat Rate","Aktiver flat rate"
"Enable Merchant Calculated","Aktiver forhandlerudregning"
"Enable this if your checkout request is too big and being cut off.","Aktiver dette hvis dit bestillingskald er for stort og bliver afbrudt."
"Expiration: %s","Udløber: %s"
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Finansiel: %s -> %s"
"First Overnight","First Overnight"
"Free Shipping","Gratis levering"
"Fulfillment: %s -> %s","Fuldendt: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google godkendelse:"
"Google Buyer ID: %s","Google køber ID: %s"
"Google Charge:","Google betaling:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google betaling"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - fragtfirmaberegnet"
"Google Checkout Shipping - Digital Delivery","Google Checkout forsendelse - digital levering"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - forhandlerberegnet"
"Google Checkout: %s","Google betaling: %s"
"Google Order Number: %s","Google ordrenr.: %s"
"Google Order Status Change:","Ændring af Google ordrestatus:"
"Google Refund:","Google tilbagebetaling:"
"Google Risk Information:","Google risikoinformation:"
"Ground","Ground"
"Hide Cart Contents","Skjul kurvens indhold"
"Home Delivery","Hjemmelevering"
"IP Address: %s","IP-adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Hvis aktiveret bliver indholdet af kurven skjult efter der klikke på Google Checkout-knappen i kurven, og genskabt hvis der klikkes ""Rediger kurv""."
"Inches","Tommer"
"Invoice Auto-Created: %s","Autooprettet faktura: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Er køber villig til at modtage markedsføringsmails: %s"
"Key/URL delivery","Key/URL levering"
"Large - %s","Stor - %s"
"Latest Charge: %s","Seneste betaling: %s"
"Latest Chargeback: %s","Seneste chargeback: %s"
"Latest Refund: %s","Seneste tilbagebetaling: %s"
"Location","Beliggenhed"
"Media Mail","Media Mail"
"Medium - %s","Medium - %s"
"Merchant ID","Butiksindehaver ID"
"Merchant Key","Forhandlernøgle"
"Method","Metode"
"New Order Status","Status for nye ordrer"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Saver","Next Day Air Saver"
"No","Nej"
"No Comment","Ingen kommentar"
"No Reason","Ingen årsag"
"Optimistic","Optimistisk"
"Optional, leave empty for home page.","Valgfrit, lad stå tom for at gå til forside."
"Order creation error","Fejl ved ordreoprettelse"
"Parcel Post","Pakkepost"
"Pessimistic","Pessimistisk"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Rate 1 Amount","Sats 1 beløb"
"Rate 1 Ship To Applicable Countries","Sats 1 - lever til relevante lande"
"Rate 1 Ship to Specific Countries","Sats 1 - lever til bestemte lande"
"Rate 1 Title","Sats 1 - titel"
"Rate 2 Amount","Sats 2 beløb"
"Rate 2 Ship To Applicable Countries","Sats 2 - lever til relevante lande"
"Rate 2 Ship to Specific Countries","Sats 2 - lever til bestemte lande"
"Rate 2 Title","Sats 2 - titel"
"Rate 3 Amount","Sats 3 beløb"
"Rate 3 Ship To Applicable Countries","Sats 3 - lever til relevante lande"
"Rate 3 Ship to Specific Countries","Sats 3 - lever til bestemte lande"
"Rate 3 Title","Sats 3 - titel"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Krævet for live Google Checkout-transaktioner. Sørg for at denne indstilling stemmer overens med sikre URLs i frontend (""Web"" > ""Sikker"")."
"Residential","Beboelse"
"Sandbox","Sandbox"
"Secure Callback URL","Sikker callback-URL"
"Small - %s","Lille - %s"
"Standard Overnight","Standard Overnight"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Momsbeløbet er baseret på information fra Google Checkout, fordi momsbeløbet fra Google Checkout afviger fra det beregnede momsbeløb."
"Title","Titel"
"Total Chargeback: %s","Total chargeback: %s"
"Total Charged: %s","Total faktureret: %s"
"Total Refunded: %s","Total refunderet: %s"
"Transparent","Transparent"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Storbritannien"
"United States","USA"
"Unknown Reason","Ukendt årsag"
"White Background","Hvid baggrund"
"Yes","Yes"
"You will be redirected to GoogleCheckout in a few seconds.","Du bliver videresendt til Google Checkout om et par sekunder."
