" in rows: "," i rækker: "
"-- Please Select --","-- Vælg venligst --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapteren skal være en instans af Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adaptertypen skal udfyldes"
"Can not determine attribute filter type","Kan ikke finde filtertypen for egenskab"
"Can not find required columns: ","Kan ikke finde de nødvendige kolonner: "
"Can not get autoincrement value","Kan ikke finde autoincrement-værdien"
"Check Data","Kontroller data"
"Column names have duplicates","Der er dubletter i kolonnenavnene"
"Column names is empty or is not an array","Kolonnenavne mangler eller er ikke et array"
"Column names: ""%s"" are invalid","Kolonnenavnene: ""%s"" er ugyldige"
"Continue","Fortsæt"
"Data is invalid or file is not uploaded","Data er ugyldig eller filen er ikke uploadet"
"Destination directory is not writable","Destinationsmappen er ikke skrivbar"
"Destination file is not writable","Destinationsfilen er ikke skrivbar"
"Destination file path must be a string","Destinationsstien skal være en tekststreng"
"Entity Attributes","Egenskaber for enhed"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Enhedsadapterobjekt skal være en instans af Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Ukendt enhed"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modellen for enhedstypen skal være en instans af Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modellen for enhedstypen skal være en instans af Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fejl i datastruktur: Blandede importmetoder"
"Error in data structure: entity codes are mixed","Fejl i datastruktur: Enhedskoder er sammenblandede"
"Export FAQ","Eksport FAQ"
"Export","Eksport"
"Export File Format","Eksport filformat"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Der er ingen data i filen. Upload en anden."
"File format is unknown","Ukendt filformat"
"File is partially valid, but import is not possible","Filen er delvis gyldig, men import kan ikke gennemføres"
"File is totally invalid. Please fix errors and re-upload file","Filen er ugyldig. Ret fejl i filen og upload den igen."
"File is valid! To start import process press ""Import"" button","Filen er gyldig! Tryk ""Import"" for at starte importprocessen"
"File is valid, but import is not possible","Filen er gyldig, men import kan ikke gennemføres"
"Header column names already set","Kolonnetitler er allerede indstillet"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (ofte stillede spørgsmål)"
"Import FAQ","Import FAQ"
"Import Settings","Importindstillinger"
"Import successfully done.","Import gennemført."
"Import","Import"
"Import/Export","Import/Eksport"
"In/Out","Ind/ud"
"Input entity code is not equal to entity adapter code","Den angivne enhedskode passer ikke med enhedsadapterkoden"
"Invalid entity","Ugyldig enhed"
"Invalid file format","Ugyldigt filformat"
"Invalid parameters","Ugyldige parametre"
"Invalid seek position","Ugyldig søgeposition"
"Invalid value for '%s'","Ugyldig værdi for '%s'"
"No filter data provided","Ingen filterdata"
"No source specified","Ingen kilde angivet"
"No valid data sent","Ingen gyldig data sendt"
"No writer specified","Ingen skrivemetode angivet"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Ikke implementeret endnu"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Ret fejl og upload filen igen eller tryk ""Import"" for at springe fejlrækker over"
"Please fix errors and re-upload file","Ret fejl og upload filen igen"
"Select File to Import","Vælg fil til import"
"Some other FAQ","Anden FAQ"
"Source file moving failed","Kildefilen kunne ikke flyttes"
"Source file path must be a string","Sti til kildefil skal være en tekststreng"
"Source is not set","Kilde er ikke angivet"
"Status","Status"
"System busy","System optaget"
"There are no product types available for export","Der er ingen produkttyper tilgængelige for eksport"
"Total size of uploadable files must not exceed %s","Den samlede størrelse af filer der uploades må ikke overstige %s"
"Total size of uploadable files must not exceed %s","Totalstørrelse op filer til upload må ikke overstige %s"
"Uploaded file has no extension","Uploadet fil har ingen filendelse"
"Validation Results","Valideringsresultater"
