"%s Index process is working now. Please try run this process later.","Indekseringsprocessen %s arbejder i øjeblikket. Prøv igen senere."
"%s index was rebuilt.","Indekset %s er genopbygget."
"'%s' Index Process Information","'%s' information om indekseringsproces"
"Action","Handling"
"Cannot initialize the indexer process.","Kan ikke starte indekseringsprocessen."
"Change Index Mode","Skift indekseringstype"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klik her for at gå til <a href=""%s"">Cachestyring</a> og opdater cachetyperne."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klik her for at gå til <a href=""%s"">Indeksstyring</a> og genopbyg de nødvendige indeks."
"Delete","Slet"
"Description","Beskrivelse"
"Disable","Deaktiver"
"Enable","Aktiver"
"General","Generelt"
"Index","Indeks"
"Index Description","Indeksbeskrivelse"
"Index Management","Indeksadministration"
"Index Mode","Indekseringstype"
"Index Name","Indeksnavn"
"Index mode","Indekseringstype"
"Indexer code is not defined.","Indekskode er ikke angivet."
"Indexer model is not defined.","Indeksmodel er ikke angivet."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indeksmodel skal nedarve fra Mage_Index_Model_Indexer_Abstract."
"Manual Update","Manuel opdatering"
"Mode","Type"
"Never","Aldrig"
"No","Nej"
"One or more of the Indexes are not up to date:","Et eller flere indeks er forældet:"
"Please select Index(es)","Vælg indeks"
"Please select Indexes","Vælg indeks"
"Please select items.","Vælg indeks."
"Process Information","Procesinformation"
"Processing","Behandler"
"Ready","Klar"
"Refresh","Opdater"
"Reindex Data","Genindekser"
"Reindex Required","Genindeksering kræves"
"Revoke","Afvis"
"Status","Status"
"System","System"
"The index has been saved.","Indekset er gemt."
"There was a problem with reindexing process.","Der er et problem med genindekseringen."
"There was a problem with saving process.","Der er et problem med lagringsprocessen."
"Total of %d index(es) have changed index mode.","I alt %d indeks har ændret indekseringstype."
"Total of %d index(es) have reindexed data.","I alt %d indeks er genopbygget."
"Update Required","Opdatering kræves"
"Update on Save","Opdater når der gemmes"
"Updated At","Opdateret"
"Please select items.","Vælg indeks."
"Yes","Ja"
