"(Make sure you keep it in a safe place.)","(Gem den et sikkert sted.)"
"(Optional. Leave blank for no prefix)","(Valgfri. Udfyldes kun hvis du ønsker et præfix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Ekstra sti tilføjet efter rod-URL for at tilgå administrationspanelet."
"Admin Path","Admin-sti"
"After successfull installation please click the button below.","Klik venligst på knappen nedenfor efter fuldendt installation."
"All packages were installed, click 'OK' to continue with installation.","Alle pakker installeret, klik 'OK' for at fortsætte installationen."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativt kunne du prøve 'Manuel download og opgrader' metoden."
"Base URL","Rod-URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Nedskriv venligst din krypteringsnøgle, før du går til din forretning (Magento bruger nøglen til at kryptere kodeord, kreditkort osv.)"
"Check out our","Tjek vores"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marker kun denne box hvis det ikke er muligt at validere den sikre URL automatisk. F.eks. hvis HTTP kræver autentificering."
"Check this box only if it is not possible to automatically validate the Base URL.","Afkryds kun denne boks hvis det ikke er muligt at validere rod-URL'en automatisk."
"Choose this if you would like to test frontend and backend functionality.","Vælg dette hvis du ønsker at teste frontend og backend funktionalitet."
"Configuration","Konfiguration"
"Confirm Password","Bekræft kodeord"
"Connection","Forbindelse"
"Continue","Fortsæt"
"Continue After Manual Download","Fortsæt efter manuel download"
"Continue Full Download / SVN Installation","Fortsæt fuld download/SVN installation"
"Create Admin Account","Opret administrator-konto"
"Currently this is the most stable state available for Magento packages.","Dette er den mest stabile version for Magento-pakker."
"Database","Database"
"Database Connection","Database-forbindelse"
"Database Name","Navn på database"
"Database Name cannot be empty.","Databasenavn må ikke være tomt."
"Database Type","Databasetype"
"Database connection error.","Fejl i forbindelse til database"
"Database host","Database-vært (host)"
"Database server does not support the InnoDB storage engine.","Databaseserveren understøtter ikke InnoDB."
"Database user name","Database-brugernavn"
"Database user password","Database-kodeord"
"Default Currency","Standardvaluta"
"Download","Download"
"Download Magento Core Modules and Updates","Download Magentos kernemoduler og opdateringer"
"Downloading and installing Magento, please wait...","Downloader og installerer Magento, vent venligst..."
"Email","E-mail"
"Email Address","E-mailadresse"
"Enable Charts","Aktiver grafer"
"Enable this option if you want the charts to be displayed on Dashboard.","Vælg denne mulighed hvis du vil have grafer vist i oversigten."
"Enable this option only if you have SSL available.","Aktiver kun denne, hvis du har SSL til rådighed."
"Encryption Key","Krypteringsnøgle"
"File System","Filsystem"
"First Name","Fornavn"
"Full Download / SVN Installation","Fuld download/SVN installation"
"Get ready to experience Open-Source eCommerce Evolved.","Gør dig klar til at opleve næste generation af open-source e-handel."
"Go to Backend","Gå til backend"
"Go to Frontend","Gå til frontend"
"Having trouble installing Magento?","Problemer med installationen af Magento?"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Host","Vært (host)"
"I agree to the above terms and conditions.","Jeg accepterer ovenstående vilkår"
"If you are a developer and would like to have the latest public updates, choose this option.","Vælg denne, hvis du er udvikler og ønsker at have alle seneste opdateringer."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Hvis du kører PHP som CGI, så vil dine PHP processer køre under den samme bruger, som den bruger du bruger til at uploade Magento-filer."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Fortsæt med denne metode hvis du kører installationsguiden på en eksisterende Magento-installation."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Hvis du ikke ønsker eller har mulighed for at tildele web-skriverettigheder til  Magentos foldere, så kan anvende det PEAR-program, som ligger i roden af Magento-installationen."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Hvis du har downloadet den fulde pakke eller installeret Magento gennem SVN bør du skippe pakke installation og validering ved at klikke på knappen herunder."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Hvis du ønsker at administrere Magentos pakker gennem webadministration, så skal du sikre dig, at alle Mangentos foldere og filer har web-skriverettigheder."
"If your server is running on MS Windows, most probably you will not need to change anything.","Hvis din server kører på MS Windows, så vil du højst sandsynligt ikke behøve at ændre noget."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","I nogen sammenhænge er det nødvendigt at gøre Magentos filer skrivbare for den bruger, som webserverens processer kører under."
"Installation","Installation"
"Installation Guide","Installationsguide"
"Installer does not exist for %s database type","Der er ikke nogen installer til databasetypen %s"
"Last Name","Efternavn"
"License Agreement","Licensaftale"
"Locale","Sprog"
"Locale settings","Sprogindstillinger"
"Localization","Sprog"
"Login Information","Log ind-information"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager udgivelse"
"Magento Installation Wizard","Magento installationsguide"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento er et varemærke ejet af Magento Inc. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento bruger denne nøgle til at kryptere kodeord, kreditkortinformation og andet. Hvis dette felt ikke udfyldes så vil systemet oprette en krypteringsnøgle for dig, og denne vil blive vist på næste side."
"Manual Downloads and Upgrades","Manuel download og opgradering"
"No resource for %s DB model.","Ingen ressource for %s DB-modellen."
"One of PHP Extensions ""%s"" must be loaded.","En af PHP-modulerne ""%s"" skal være installeret."
"PHP Extension '%s' loaded","PHP-modulet '%s' er indlæst"
"PHP Extensions ""%s"" must be loaded.","PHP-modulerne ""%s"" skal være installeret."
"PHP extension ""%s"" must be loaded.","PHP-modulet ""%s"" skal være installeret."
"Package Management through the Web","Webadministration af pakker"
"Password","Kodeord"
"Password Confirmation","Bekræft kodeord"
"Path ""%s"" must be writable.","Stien ""%s"" skal være skrivbar"
"Personal Information","Personlig information"
"Please correct the user data and try again.","Ret brugerdata og prøv igen."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Du bør sikre dig at <code>mod_rewrite</code> er aktiveret i Apaches konfiguration."
"Please note that it is much less stable than beta.","Vær venligst opmærksom på, at denne version er meget mindre stabil end beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Bemærk, at kun UNIX, Linux og Max OS X shells er understøttet. For Windows, brug muligheden '%s'."
"Please set all required settings before clicking Continue","Tag venligst stilling til alle obligatoriske indstillinger inden du klikker 'Fortsæt'"
"Preferred stability: %s","Ønsket stabilitet: %s"
"Proceed With Automatic Download (%s)","Fortsæt med automatisk download (%s)"
