"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' er for langt. Værdien skal være %min% symboler."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' er for kort. Værdien skal være %min% symboler."
"* Required Fields","* obligatoriske felter"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> anmoder om adgang til din konto"
"Admin","Admin"
"After authorization application will have access to you account.","Efter autorisation vil applikationen have adgang til din konto."
"An error occurred on confirm authorize.","Fejl ved bekræftelse af autorisation."
"An error occurred on delete action.","Fejl ved sletning."
"An error occurred on delete application.","Fejl ved sletning af applikation."
"An error occurred on reject authorize.","Fejl ved afvisning af autorisation."
"An error occurred on saving consumer data.","Fejl ved lagring af klientdata."
"An error occurred on update revoke status.","Fejl ved opdatering af afvisningsstatus"
"An error occurred while deleting the consumer.","Fejl ved sletning af klienten."
"An error occurred.","Der opstod em fejl."
"An error occurred. Your authorization request is invalid.","Der opstod en fejl. Din autorisationsanmodning er ugyldig."
"App Name","Appnavn"
"Application ""%s"" has been deleted.","Applikationen ""%s"" er slettet."
"Application ""%s"" has been enabled.","Applikationen ""%s"" er aktiveret."
"Application ""%s"" has been revoked.","Applikationen ""%s"" er afvist."
"Application Name","Applikationsnavn"
"Application not found.","Applikation ikke fundet."
"Are you sure you want to delete this application?","Er du sikker på at du vil slette denne applikation?"
"Are you sure you want to disable this application?","Er du sikker på at du vil deaktivere denne applikation?"
"Are you sure you want to enable this application?","Er du sikker på at du vil aktivere denne applikation?"
"Authorization confirmed","Autorisation bekræftet"
"Authorization confirmed.","Autorisation bekræftet."
"Authorize","Autoriser"
"Authorize application","Autoriser applikation"
"Authorized Tokens","Autoriserede tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Cleanup Probability"
"Cleanup Settings","Cleanup indstillinger"
"Close","Luk"
"Confirm OAuth token authorization","Bekræft OAuth token autorisation"
"Confirm token authorization Pop Up for admin","Bekræft token autorisations-popup for admin"
"Confirm token authorization for admin","Bekræft token autorisation for admin"
"Confirmation Of Authorization","Bekræftelse af autorisation"
"Consumer Information","Klientinformation"
"Consumer Name","Klientnavn"
"Consumers","Klienter"
"Created At","Oprettet"
"Customer","Kunde"
"Customer My Account My OAuth Applications","Kunde - Min konto - Mine OAuth applikationer"
"Delete","Slet"
"Disable","Deaktiver"
"Disabled","Deaktiveret"
"Edit","Rediger"
"Edit Consumer","Rediger klient"
"Email","E-mail"
"Email Address","E-mailadresse"
"Enable","Aktiver"
"Enabled","Aktiveret"
"Entry with ID #%s not found.","Post med ID #%s ikke fundet."
"Expiration Period","Udløbsperiode"
"Give the verifier code to application administrator","Giv verifikationskoden til administratoren for applikationen"
"ID","ID"
"Invalid Callback URL","Ugyldig callback URL"
"Invalid ID parameter.","Ugyldig ID parameter."
"Invalid Rejected Callback URL","Ugyldig afvist callback URL"
"Invalid entry ID.","Ugyldigt entry ID."
"Invalid revoke status.","Ugyldig afvisningsstatus."
"Key","Nøgle"
"Log In","Log ind"
"Log in as a customer","Log ind som en kunde"
"Log in as admin","Log ind som admin"
"Log in as customer","Log ind som kunde"
"Log in to use <strong>%s</strong>","Log ind for at bruge <strong>%s</strong>"
"Login","Login"
"My Applications","Mine applikationer"
"Name","Navn"
"New Consumer","Ny klient"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Mine apps"
"OAuth Authorized Tokens","OAuth autoriserede tokens"
"OAuth Consumers","OAuth klienter"
"OAuth authorization Pop Up for customer","OAuth autorisations-popup for kunde"
"OAuth authorization for admin","OAuth autorisation for admin"
"OAuth authorization for customer","OAuth autorisation for kunde"
"OAuth authorization simple for admin","OAuth simpel autorisation for admin"
"Password","Password"
"Permissions","Tilladelser"
"Please login to proceed authorization.","Log ind for at fortsætte autorisationen."
"Please select needed row(s).","Vælg de nødvendige rækker."
"Please select revoke status.","Vælg afvisingsstatus."
"REST - My Apps","REST - Mine apps"
"REST - OAuth Authorized Tokens","REST - OAuth autoriserede tokens"
"REST - OAuth Consumers","REST - OAuth-klienter"
"Reject","Afvis"
"Reject OAuth token authorization","Afvis OAuth token-autorisation"
"Reject authorization","Afvis autorisation"
"Reject token authorization Pop Up for admin","Afvis token autorisations-popup for admin"
"Reject token authorization for admin","Afvis token autorisation for admin"
"Rejected Callback URL","Afvist callback URL"
"Rejection Of Authorization","Afvisning af autorisation"
"Revoked","Afvist"
"Role Name","Rollenavn"
"Save","Gem"
"Save and Continue Edit","Gem og fortsæt redigering"
"Secret","Hemmelig"
"Selected entries enabled.","De valgte poster er aktiveret."
"Selected entries has been deleted.","De valgte poster er slettet."
"Selected entries revoked.","De valgte poster er afvist."
"Status","Status"
"System","System"
"The application access request is rejected.","Applikationens anmodning er afvist."
"The consumer has been deleted.","Klienten er slettet."
"The consumer has been saved.","Klienten er gemt."
"Token Status Change","Token statusændring"
"Token Status Change Email Template","Token statusændring - e-mailskabelon"
"Unable to find a consumer.","Kunne ikke finde kunden."
"User ID","Bruger-ID"
"User Name","Brugernavn"
"User Type","Brugertype"
"Verifier code: %s","Verifikationskode: %s"
"You have no applications.","Du har ingen applikationer."
"deleted","slettet"
"enabled","aktiveret"
"revoked","afvist"
