"An error occurred while clearing the external full page cache.","Der opstod en fejl ved tømning af den eksterne full page cache."
"Cookie Lifetime (seconds)","Cookie-levetid (sekunder)"
"Enable External Cache","Aktiver ekstern cache"
"External Cache Control","Ekstern cachekontrol"
"External Full Page Cache Settings","Indstillinger for ekstern full page cache"
"External full page cache.","Ekstern full page cache."
"Failed to load external cache control","Kunne ikke indlæse ekstern cachekontrol"
"Flush External Page Cache","Tøm ekstern full page cache"
"If empty, default value will be used.","Hvis tom benyttes standardværdien."
"The external full page cache has been cleaned.","Den eksterne full page cache er tømt."
"Zend Full Page Cache","Zend Full Page Cache"
