"-OR-","-ELLER-"
"2-pixel perimeter around the header space.","2 pixel plads omkring headerområdet."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure kortvalidering"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validering kræves til Maestro-kort. American Express kræver tillægsaftale. Læs mere på <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Tag betaling med PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","En værdi er nødvendig for live-mode. Se CardinalCommerce-aftalen."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (afventer en tvist eller anden undersøgelse)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","API Authentication Methods"
"API Certificate","API Certificate"
"API Password","API kodeord"
"API Signature","API signatur"
"API Username","API brugernavn"
"API Uses Proxy","API bruger proxy"
"API/Integration","API/Integration"
"API/Integration Settings","API/integrationsindstillinger"
"Ability for buyer to purchase without PayPal account.","Mulighed for at kunden kan købe uden PayPal-konto."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Modtag PayPal-betalinger i din indkøbskurv. PayPal behandler betalingerne gennem Payflow Pro Gateway."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Modtag betalinger gennem en PCI-certificeret checkout der beholder kunderne på din side. Inklusiv en forretningskonto hos PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Modtag betalinger gennem en PCI-certificeret checkout der beholder kunderne på din side. Bruges med din egen forretningskonto."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Tag imod betalinger uden at kunden forlader dit website. Mange populære webhostingløsninger og e-handelsløsninger har Payflow payment gateways indbygget, så det er let at sætte op."
"Acceptance Mark","Acceptmærke"
"Acceptance Mark Image","Acceptmærkebillede"
"Account-to-Account Payment, initiated by PayPal","Konto-til-konto-betaling fra PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Lav en Express Checkout knap i din eksisterende indkøbskurv til hurtige og nemme kortbetalinger. PayPal håndterer al kortbehandling."
"Additional Options","Yderligere muligheder"
"Address","Addresse"
"Address Verification System Response","Systemsvar for adresseverifikation"
"All the address information matched","Al adresseinfo stemmer"
"Allow in Billing Agreement Wizard","Tillad i betalingsaftaleguiden"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Tilladte værdier: ""paypal"", ""primary"" (standard), your_custom_value (en sidestil for betalingssiden du selv har defineret i din forretningsprofil)."
"Allowed Credit Card Types","Tilladte kreditkorttyper"
"Also affects mini-shopping cart.","Påvirker også mini-indkøbskurven."
"Api/Integration","Api/Integration"
"Ask Customer","Spørg kunde"
"Attempted Authentication, Bad Result","Autentificering forsøgt, negativt resultat"
"Attempted Authentication, Good Result","Autentificering forsøgt, positivt resultat"
"Auction Payment other than through eBay","Andre auktionsbetalinger end eBay"
"Authenticated, Bad Result","Autentificeret, negativt resultat"
"Authenticated, Good Result","Autentificeret, positivt resultat"
"Authorization","Autorisation"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Authorization transaction is required to void.","Autorisationstransaktionen skal annulleres."
"Authorized amount of %s.","Autoriserede et beløb på %s."
"Authorizing amount of %s is pending approval on gateway.","Autoriseringsbeløb på %s afventer godkendelse i gateway."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Tilgængelig balance"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","Betalingsadresse"
"Billing Agreement Signup ","Tilmelding til betalingsaftale"
"Bonus for first ACH Use","Bonus for første brug af ACH"
"Buyer Credit Payment","Buyer Credit Payment"
"Buyer\'s Tax ID","Købers Tax ID"
"Buyer\'s Tax ID Type","Købers Tax ID-type"
"By default it is ""reports.paypal.com"".","Som udgangspunkt er det ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Can not send new order email.","Kan ikke sende ordremail."
"Cannot create target file for reading reports.","Kan ikke oprette målfil for læsning af rapporter."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback fra kunde."
"Checkout with PayPal","Bestil med PayPal"
"City","By"
