"Abandoned Carts","Efterladte kurve"
"Abandoned carts","Efterladte kurve"
"Action","Handling"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Sæt på ønskeseddel"
"Any","Enhver"
"Applied Coupon","Anvendt rabatkode"
"Applies to Any of the Specified Order Statuses","Gælder for alle angivede ordrestatusser"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Er du sikker på at du vil opdatere totalstatistikken? Det kræver en del arbejde af serveren."
"Are you sure?","Er du sikker?"
"Avg. Approved Rating","Gns. godkendt karakter"
"Avg. Rating","Gns. karakter"
"Bestsellers","Bestsellere"
"Bought from wishlists","Købt fra ønskesedler"
"CSV","CSV"
"Carts","Indkøbskurve"
"Catalog Category (Without Subcategories)","Kategori i kataloget (uden underkategorier)"
"Compared Products Grid Template","Produktsammenligning, tabelskabelon"
"Compared Products List Template","Produktsammenligning, listeskabelon"
"Coupons","Rabatkoder"
"Coupons Usage Report","Rabatkoderapport"
"Created At","Oprettet den"
"Current Month Starts","Aktuelle måned begynder"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customer Tags","Kundetags"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kunders bedømmelser"
"Customers Tags","Kunders tags"
"Customers by Number of Orders","Kunder efter antal ordrer"
"Customers by Orders Total","Kunder efter ordretotal"
"Customers by number of orders","Kunder efter antal ordrer"
"Customers by orders total","Kunder efter ordretotal"
"Customers that have wishlist: %s%","Kunder med ønskeseddel: %s%"
"Dashboard","Oversigt"
"Day","Dag"
"Default Recently Compared Products Count","Standardantal senest sammenlignede produkter"
"Default Recently Viewed Products Count","Standardantal senest viste produkter"
"Description","Beskrivelse"
"Detail","Beskrivelse"
"Downloads","Downloads"
"Email","E-mail"
"Empty Rows","Tomme rækker"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Fornavn"
"From","Fra"
"Guest","Gæst"
"Hits","Hits"
"ID","ID"
"IP Address","IP-adresse"
"Index model name must be defined","Modelnavn for index skal angives"
"Invalid date specified.","Ugyldig dato"
"Invoiced","Faktureret"
"Items in Cart","Varer i kurv"
"Last Name","Efternavn"
"Last Review","Sidste bedømmelse"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Produkter som brugeren har sammenlignet for nylig, men fjernet igen fra sammenligningen"
"List of Products Recently Viewed by Visitor","Produkter som brugeren har sammenlignet for nylig"
"Low Stock","Lav beholdning"
"Low stock","Lav beholdning"
"Match Period To","Match periode med"
"Month","Måned"
"Most Viewed","Mest viste"
"Name","Navn"
"New Accounts","Nye konti"
"No","Nej"
"Number Added","Antal tilføjet"
"Number Fulfilled","Antal gennemført"
"Number Of Reviews","Antal bedømmelser"
"Number Purchased","Antal varer købt"
"Number Viewed","Antal visninger"
"Number of Items","Antal varer"
"Number of New Accounts","Antal nye konti"
"Number of Products to display","Antal produkter at vise"
"Number of Reviews","Antal bedømmelser"
"Number of Times Deleted","Antal sletninger"
"Number of Total Tags","Antal tags i alt"
"Number of Unique Tags","Antal unikke tags"
"Number of Views","Antal visninger"
"Number of items bought from a wishlist: %s","Antal varer købt fra en ønskeseddel: %s"
"Number of times wishlists have been shared (emailed): %s","Antal gange ønskesedler er blevet delt (pr. e-mail): %s"
