"ALL","ALLE"
"ANY","EN"
"Add","Tilføj"
"Apply","Giv"
"Conditions Combination","Kombination af betingelser"
"Customer Groups must be specified.","Kundegruppe skal angives."
"End Date must be greater than Start Date.","Slutdato skal være efter startdato."
"FALSE","FALSK"
"If %s of these conditions are %s:","Hvis %s af nedenstående betingelser er %s:"
"Invalid discount amount.","Ugyldigt rabatbeløb."
"Open Chooser","Åben vælger"
"Perform following actions","Udfør da følgende handlinger:"
"Please choose a condition to add...","Vælg betingelse.."
"Please choose an action to add...","Vælg handling..."
"Remove","Fjern"
"TRUE","SAND"
"Websites must be specified.","Websites skal angives."
"by","med"
"contains","indeholder"
"does not contain","indeholder ikke"
"equals or greater than","er lig med eller større end"
"equals or less than","er lig med eller mindre end"
"greater than","større end"
"is","er"
"is not","er ikke"
"is not one of","er ikke blandt"
"is one of","er blandt"
"less than","mindre end"
"to","til"
