"""%s"" coupon code is not valid.","""%s"" rabatkoden er ugyldig."
"%s / %s rate:","%s / %s forhold:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s ordrer kan ikke annulleres"
"%s order(s) have been canceled.","%s ordrer er annulleret"
"%s order(s) have been put on hold.","%s ordrer sat på pause."
"%s order(s) have been released from holding status.","%s ordrer er ophævet fra pausestatus."
"%s order(s) were not put on hold.","%s ordrer er ikke sat på pause."
"%s order(s) were not released from holding status.","%s ordrer er ikke ophævet fra pausestatus."
"%s","%s"
"* - Enter custom price excluding tax","* - Indtast tilpasset pris ekskl. moms"
"* - Enter custom price including tax","* - Indtast tilpasset pris inkl. moms"
"-- Please Select --","-- Vælg venligst --"
"-- Please Select Billing Agreement--","-- Vælg betalingsaftale--"
"About This Order:","Om denne ordre:"
"About This Profile:","Om denne profil:"
"About Your Invoice","Om din faktura"
"About Your Order","Vedrørende din ordre"
"About Your Refund","Om din refundering"
"About Your Shipment","Om din levering"
"Accept Payment","Accepter betaling"
"Accept or Deny Payment","Accepter eller afvis betaling"
"Account Information","Konto - detaljer"
"Action","Handling"
"Actions","Handlinger"
"Activate","Aktiver"
"Active","Aktiv"
"Add New Address","Tilføj ny adresse"
"Add Order Comments","Tilføj ordrekommentarer"
"Add Package","Tilføj pakke"
"Add Products","Tilføj produkter"
"Add Selected Product(s) to Option","Tilføj valgte produkt(er) til mulighed"
"Add Selected Product(s) to Order","Tilføj valgte produkter til ordre"
"Add Selected Product(s) to Package","Tilføj valgte produkter til pakke"
"Add To Order","Tilføj til ordre"
"Add Tracking Number","Tilføj trackingnummer"
"Add comment to order","Tilføj kommentar til ordren"
"Add new comment to credit memo","Tilføj kommentar til kreditnota"
"Add new comment to shipment","Tilføj kommentar til leveringen"
"Add new tracking number","Tilføj nyt trackingnummer"
"Add to Cart","Læg i kurv"
"Add","Tilføj"
"Additional Product Info","Yderligere produktdata"
"Address model is not defined.","Adressemodel er ikke defineret"
"Address","Gade/vej"
"Adjustment Fee","Korrigeret tillæg"
"Adjustment Refund","Korrigeret refusion"
"Agreement Information","Aftaleinfo"
