"Action","Handling"
"Add Sitemap","Tilføj sitemap"
"Always","Altid"
"Blog Post Options","Blogindlæg"
"CMS Pages Options","CMS-sider"
"Categories Options","Kategorier"
"Daily","Hver dag"
"Edit Sitemap","Rediger sitemap"
"Enabled","Aktiv"
"Error Email Recipient","Fejl - modtager"
"Error Email Sender","Fejl - afsender"
"Error Email Template","Fejl - skabelon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kan ikke gemmes. Sørg for at mappen ""%s"" er skrivbar for serveren."
"Filename","Filnavn"
"Frequency","Hyppighed"
"Generate","Generer"
"Generation Settings","Genereringsindstillinger"
"Google Sitemap","Google sitemap"
"Hourly","Hver time"
"ID","ID"
"Last Time Generated","Sidst genereret"
"Link for Google","Link til Google"
"Monthly","Hver måned"
"Never","Aldrig"
"New Sitemap","Nyt sitemap"
"Path","Sti"
"Please create the specified folder ""%s"" before saving the sitemap.","Opret mappen ""%s"" før du gemmer sitemappet."
"Please define correct path","Angiv venligst en korrekt sti"
"Please make sure that ""%s"" is writable by web-server.","Sørg for at ""%s"" er skrivbar for serveren."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Brug kun bogstaver (a-z or A-Z), tal (0-9) eller underscore (_) i filnavnet. Ingen mellemrum eller andre tegn er tilladt."
"Priority","Prioritet"
"Products Options","Produkter"
"Sitemap generate Warnings","Sitemap - advarsler for generering"
"Sitemap","Sitemap"
"Start Time","Starttidspunkt"
"Store View","Visning af forretning"
"The priority must be between 0 and 1.","Prioriteten skal være mellem 0 og 1."
"The sitemap ""%s"" has been generated.","Sitemappet ""%s"" er genereret."
"The sitemap has been deleted.","Sitemappet er slettet."
"The sitemap has been saved.","Sitemappet er gemt."
"This sitemap no longer exists.","Sitemap findes ikke længere"
"Unable to find a sitemap to delete.","Sitemap kunne ikke findes."
"Unable to find a sitemap to generate.","Kunne ikke finde et sitemap at generere"
"Unable to generate the sitemap.","Kunne ikke generere sitemap."
"Valid values range: from 0.0 to 1.0.","Gyldige værdier: fra 0.0 til 1.0."
"Weekly","Hver uge"
"Yearly","Hvert år"
