"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matcher alle; 'xyz*' - matcher tekst der begynder med 'xyz' og ikke er længere end %d."
"-- Please Select --","-- Vælg venligst --"
"Add New Class","Tilføj ny gruppe"
"Add New Tax Rate","Tilføj ny momssats"
"Add New Tax Rule","Tilføj ny momsregel"
"After Discount","Efter rabat"
"An error occurred while deleting this rate.","Fejl ved sletning af satsen."
"An error occurred while deleting this rate. Incorrect rate ID.","Fejl ved sletning af satsen. Forkert ID."
"An error occurred while deleting this tax class.","Fejl ved sletning af momsklassen."
"An error occurred while deleting this tax rule.","Fejl ved sletning af momsreglen."
"An error occurred while saving this tax class.","Fejl ved lagring af momsklassen."
"An error occurred while saving this tax class. A class with the same name already exists.","Fejl ved lagring af momsklassen. En klasse med samme navn eksisterer allerede."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","Fejl ved lagring af momsreglen."
"Apply Customer Tax","Påfør moms"
"Apply Discount On Prices","Anvend rabat på priser"
"Apply Discounts To FPT","Anvend rabat på fast produktmoms (FPT)"
"Apply Tax On","Beregn moms på"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Beregning af rabat på prisen inkl. moms er baseret på forretningsmomsen, hvis ""Beregn moms efter rabat"" er valgt."
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Back","Tilbage"
"Before Discount","Før rabat"
"CSV","CSV"
"Calculate off subtotal only","Beregn kun moms af subtotal"
"Calculation Settings","Beregningsindstillinger"
"Catalog Prices","Katalogpriser"
"Class Name","Gruppenavn"
"Code","Kode"
"Country","Land"
"Custom price if available","Tilpasset pris hvis tilgængelig"
"Customer Tax Class","Momsgruppe (kunder)"
"Customer Tax Class Information","Gruppe - detaljer"
"Customer Tax Classes","Momsgrupper (kunder)"
"Default Country","Standardland"
"Default Post Code","Standardpostnummer"
"Default State","Standardstat"
"Default Tax Destination Calculation","Standarddestination for momsberegning"
"Delete Class","Slet gruppe"
"Delete Rate","Slet momssats"
"Delete Rule","Slet regel"
"Display Full Tax Summary","Vis komplet opsummering af moms"
"Display Prices","Prisvisning"
"Display Product Prices In Catalog","Vis produktpriser i kataloget"
"Display Shipping Amount","Vis leveringsbeløb"
"Display Shipping Prices","Vis leveringspriser"
"Display Subtotal","Vis subtotal"
"Display Zero Tax Subtotal","Vis moms-subtotal på nul"
"Edit Class","Rediger gruppe"
"Edit Class '%s'","Rediger gruppe '%s'"
"Edit Rule","Rediger regel"
"Edit Tax Rate","Rediger momssats"
"Enable Cross Border Trade","Aktiver handel over landegrænser"
"Excel XML","Excel XML"
"Excl. Tax","Ekskl. moms"
"Excl. Tax:","Ekskl. moms:"
"Excluding Tax","Eksklusiv moms"
"Export Tax Rates","Eksporter momssatser"
"FPT Tax Configuration","FPT moms konfiguration"
"Grand Total (Excl. Tax)","Total (ekskl. moms)"
"Grand Total (Excl.Tax)","Total (ekskl. moms)"
"Grand Total (Incl. Tax)","Total (inkl. moms)"
"Grand Total (Incl.Tax)","Total (inkl. moms)"
"Grand Total Excl. Tax","Total ekskl. moms"
"Grand Total Incl. Tax","Total inkl. moms"
"Import / Export Tax Rates","Importer/eksporter momssatser"
