"%s","%s"
"-- Please Select --","-- Vælg venligst --"
"Actions","Handlinger"
"Add Layout Update","Tilføj layoutopdatering"
"Add New Widget Instance","Tilføj ny widgetinstans"
"All","Alle"
"All Pages","Alle sider"
"All Product Types","Alle produkttyper"
"Anchor Categories","Filtrerede kategorier"
"Apply","Anvend"
"Assign to Store Views","Tildel forretningsvisninger"
"Big Image","Stort billede"
"Block Reference","Blokreference"
"CMS","CMS"
"Categories","Kategorier"
"Choose...","Vælg..."
"Close","Luk"
"Continue","Fortsæt"
"Default Template","Standardskabelon"
"Delete","Slet"
"Design Package/Theme","Designpakke/tema"
"Export to:","Eksporter til:"
"Frontend Properties","Frontendindstillinger"
"Generic Pages","Generiske sider"
"Images","Billeder"
"Insert Widget","Indsæt widget"
"Insert Widget...","Indsæt widget..."
"Layout Updates","Layoutopdateringer"
"Manage Widget Instances","Administrer widgetinstanser"
"New Instance","Ny instans"
"New Widget Instance","Ny widgetinstans"
"Next page","Næste side"
"Non-Anchor Categories","Ikke-filtrerede kategorier"
"Not Selected","Ikke valgt"
"Open Chooser","Åbn vælger"
"Page","Side"
"Please Select Block Reference First","Vælg først blokreference"
"Previous page","Forrige side"
"Products","Produkter"
"Remove Layout Update","Fjern layoutopdatering"
"Save and Continue Edit","Gem og fortsæt redigering"
"Select All","Vælg alle"
"Select Visible","Vælg synlige"
"Settings","Indstillinger"
"Sort Order","Sorteringsrækkefølge"
"Sort Order of widget instances in the same block reference","Rækkefølge af widgetinstanser inden for samme blokreference"
"Specific %s","Specifik %s"
"Specified Page","Specifik side"
"Template","Skabelon"
"The information in this tab has been changed.","Informationen i denne fane har ændret sig."
"The widget instance has been deleted.","Widgetinstansen er slettet."
"The widget instance has been saved.","Widgetinstansen er gemt."
"This tab contains invalid data. Please solve the problem before saving.","Denne fane indeholder ugyldige data. Ret venligst dette inden du gemmer."
"Thumbnail","Thumbnail"
"Total %d records found","I alt %d poster fundet"
"Type","Type"
"Unselect All","Fravælg alle"
"Unselect Visible","Fravælg synlige"
"View","Vis"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Indsættelse af widget"
"Widget Instance","Widgetinstans"
"Widget Instance Title","Widgetinstans titel"
"Widget Options","Widgetindstillinger"
"Widget Type","Widgettype"
"Widget Type is not specified","Widgettype ikke angivet"
"Widget instance is not full complete to create.","Widgetinstansen er ikke færdig."
"Widgets","Widgets"
"Wrong widget instance specified.","Forkert widgetinstans angivet."
"items selected","valgte poster"
"of %s pages","af %s sider"
"per page","per side"
