"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s er sat på din ønskeseddel. Klik <a href=""%2$s"">her</a> for at handle videre."
"%1$s has been updated in your wishlist.","%1$s er opdateret på din ønskeseddel."
"%d product(s) have been added to shopping cart: %s.","%d produkt(er) er blevet lagt i indkøbskurven: %s."
"%s's Wishlist","Ønskeseddel for %s"
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s er flyttet til ønskesedlen %s"
"* Required Fields","* Skal udfyldes"
"Add All to Cart","Læg alle ønsker i indkøbskurven"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Tilføj til ønskeseddel"
"Added From","Tilføjet fra"
"An error occurred while adding item to wishlist.","Fejl ved tilføjning af produkt til ønskeseddel."
"An error occurred while adding item to wishlist: %s","Fejl ved tilføjning af produkt til ønskeseddel: %s"
"An error occurred while deleting the item from wishlist.","Fejl ved sletning af produkt fra ønskeseddel"
"An error occurred while deleting the item from wishlist: %s","Fejl ved sletning af produkt fra ønskeseddel: %s"
"An error occurred while updating wishlist.","En fejl opstod ved opdatering af ønskesedlen."
"Are you sure you want to remove this product from your wishlist?","Er du sikker på, at du vil fjerne produktet fra din ønskeseddel?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne dette produkt fra ønskesedlen?"
"Back","Tilbage"
"Can\'t delete item from wishlist","Kan ikke fjerne varen fra ønskesedlen"
"Can\'t save description %s","Kan ikke gemme beskrivelse %s"
"Can\'t update wishlist","Kan ikke opdatere ønskesedlen"
"Cannot add item to shopping cart","Kan ikke lægge vare i kurv"
"Cannot add the item to shopping cart.","Kan ikke lægge varen i indkøbskurven."
"Cannot configure product","Kan ikke konfigurere produkt"
"Cannot load wishlist item","Kan ikke indlæse ønske"
"Cannot move item to wishlist","Kan ikke flytte varen til ønskesedlen"
"Cannot specify product.","Kan ikke specificere produkt"
"Cannot specify wishlist item.","Kan ikke specificere ønske."
"Cannot specify wishlist.","Kan ikke specificere ønskeseddel."
"Cannot update wishlist","Kan ikke opdatere ønskeseddel"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Sæt kryds her for at aktivere link til modtagelse af RSS-feed fra ønskeseddel."
"Click for price","Klik for pris"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Configure Wishlist Item","Konfigurer ønske"
"Configured Price:","Konfigureret pris:"
"Could not find wishlist","Kunne ikke finde ønskesedlen"
"Customer My Account My Wishlist","Min konto, ønskeseddel"
"Customer My Account Wishlist Sharing Form","Min konto, ønskeseddeldeling"
"Customer Shared Wishlist View","Kunder, delt ønskeseddel"
"Date Added","Dato tilføjet"
"Days in Wishlist","Antal dage på ønskesedlen"
"Display Wishlist Summary","Vis resumé af ønskeseddel"
"Edit","Rediger"
"Email Sender","Afsender"
"Email Template","Skabelon"
"Email address can\'t be empty.","E-mail-adresse må ikke være tom."
"Email addresses, separated by commas","E-mailadresser, adskilt med komma"
"Enabled","Aktiv"
"General Options","Generelt"
"Go to Wishlist","Se ønskeseddel"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for rendering af wishlist options implementerer ikke det nødvendige interface."
"In stock","På lager"
"Last Added Items","Senest tilføjet"
"Message","Besked"
"My Wishlist","Min ønskeseddel"
"My Wishlist (%d item)","Min ønskeseddel (%d ønske)"
"My Wishlist (%d items)","Min ønskeseddel (%d ønsker)"
"My Wishlist <small>(%d)</small>","Min ønskeseddel <small>(%d)</small>"
"My Wishlist Link","Min ønskeseddel-link"
"Options Details","Detaljer om muligheder"
"Out of stock","Ikke på lager"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Indtast venligst valide e-mailadresser adskilt med kommaer. For eksempel: lottejensen@adresse.dk, soren@eksempel.dk."
"Please input a valid email address.","Skriv venligst en gyldig e-mail-adresse."
"Please, enter your comments...","Skriv dine kommentarer her..."
"Product","Produkt"
"Product Details and Comment","Produktdetaljer og kommentar"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produktet/produkterne %s har obligatoriske valgmuligheder. Hver enkelt skal lægges i kurv separat."
"RSS Feed","RSS-feed"
"RSS link to %s's wishlist","RSS link til %s's ønskeseddel"
"Remove Item","Fjern ønske"
"Requested cart item doesn't exist","Varen eksisterer ikke"
"Requested wishlist doesn't exist","Ønskesedlen eksisterer ikke"
"Remove This Item","Fjern denne"
"Remove item","Fjern denne"
"Share Options","Delingsindstillinger"
"Share Wishlist","Del din ønskeseddel med andre"
"Share Your Wishlist","Del din ønskeseddel med andre"
"Sharing Information","Delingsinformation"
"This Wishlist has no Items","Denne ønskeseddel har ingen ønsker"
"This product(s) is currently out of stock","De valgte produkter er ikke på lager"
"Unable to add the following product(s) to shopping cart: %s.","Følgende produkter kunne ikke lægges i kurven: %s."
"Update Wishlist","Opdater ønskeseddel"
"User description","Brugerbeskrivelse"
"User Description","Brugerbeskrivelse"
"View Details","Vis detaljer"
"View Product","Vis produkt"
"What's this?","Hvad er dette?"
"Wishlist","Ønskeseddel"
"Wishlist Section","Ønskeseddelsektion"
"Wishlist Sharing","Deling af ønskeseddel"
"Wishlist could not be created.","Ønskesedlen kunne ikke oprettes."
"Wishlist is empty now.","Ønskesedlen er tom."
"You have no items in your wishlist.","Ønskesedlen er tom."
"Your Wishlist has been shared.","Din ønskeseddel er delt."
