" But cart has some errors."," Men indkøbskurven har nogle fejl."
"""Title"" is more than %d characters long","""Titel"" er mere end %d anslag lang"
"""id"" attribute is required for a ""%s"" field.","""id"" egenskaben er obligatorisk for et ""%s"" felt."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" egenskaben er obligatorisk for et ""multiline"" element."
"""message"" attribute is required for ""%s"" validator rule.","""message"" egenskaben er obligatorisk for valideringsreglen ""%s""."
"%1$s has been added to your wishlist.","%1$s er blevet tilføjet din ønskeseddel."
"%1$s incl tax.","%1$s inkl. moms."
"%s API Key required.","%s API nøgle kræves."
"%s Application ID required.","%s Application ID kræves."
"%s Secret Key required.","%s hemmelig nøgle kræves."
"%s attribute is required.","%s egenskaben er obligatorisk."
"%s has been added to your cart.","%s er blevet tilføjet din indkøbskurv."
"*Subject to change","*Fremtidige ændringer forbeholdes"
"10:40 AM","10.40"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Log ind</a> på Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","En katalog-app vil ikke understøtte funktioner som læg i kurv, sæt på ønskeseddel eller log ind."
"A new password has been sent.","Et nyt kodeord er blevet sendt."
"Account","Konto"
"Account confirmation is required. Please check your email for the confirmation link.","Bekræftelse af konto er påkrævet. Venligst tjek din e-mail efter bekræftelseslink."
"Account information has been saved.","Kontoinformation er blevet gemt."
"Action","Handling"
"Activate","Aktiver"
"Activate PayPal Checkout","Aktiver PayPal Checkout"
"Activate PayPal MECL","Aktiver PayPal MECL"
"Activation Key","Aktiveringsnøgle"
"Add App","Tilføj applikation"
"Add More Templates","Tilføj flere skabeloner"
"Add New Template","Tilføj ny skabelon"
"Add Page","Tilføj side"
"Add to Cart","Læg i kurv"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Address","Yderligere adresse"
"Address","Adresse"
"Address 2","Adresse 2"
"Address data not specified.","Adressedata ikke specificeret."
"Address does not belong to this customer.","Adresse tilhører ikke denne kunde."
"Address has been deleted.","Adressen er blevet slettet."
"Address has been saved.","Adressen er blevet gemt."
"Administrative contact for this app and for app submission issues.","Administrativ kontakt for denne applikation og spørgsmål i forbindelse med indsendelse af applikationen."
"Advanced Settings","Avancerede indstillinger"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Efter indsendelse af applikationen til Magento, venligst kontakt <a href=""mailto:%1$s"">%1$s</a> for at modtage applikationsnøgle, Application Secret og Application Master Secret.<br />Efter modtagelse af disse legitimationsoplysninger, skal du udfylde de relevante felter.<br />Derudover bedes du acceptere Urban Airship\'s Servicevilkår: <a href=""%2$s"" target=""_blank"">Klik her</a>."
