"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle kreditkort / Visa, Mastercard, AMEX, JCB, Diners (via Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (via Moneybookers) - Italien"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (via Moneybookers) - Frankrig"
"Customer ID","Kunde-ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (via Moneybookers) - Danmark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (via Moneybookers) - Østrig"
"Enabled","Aktiv"
"Find out more about Online Bank Transfer","Læs mere om online bankoverførsel"
"Giropay (powered by Moneybookers) - Germany","Giropay (via Moneybookers) - Tyskland"
"Laser (powered by Moneybookers) - Ireland","Laser (via Moneybookers) - Irland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (via Moneybookers) - Tyskland"
"Loading secure payment page (SSL)","Indlæser sikker betalingsside (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (via Moneybookers) - Storbritannien, Østrig, Spanien"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers indstillinger"
"Moneybookers Transaction ID: %s","Moneybookers transaktions-ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mere information om Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (via Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (via Moneybookers) - Sverige"
"Online Bank Transfer (powered by Moneybookers)","Online bankoverførsel (via Moneybookers)"
"Order ID","Ordre-ID"
"POLi (powered by Moneybookers) - Australia","POLi (via Moneybookers) - Australien"
"Payment failed.","Betaling mislykkedes."
"Payment from Applicable Countries","Betaling fra tilgængelige lande"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Payment has not been processed yet.","Betalingen er endnu ikke behandlet."
"Payment was canceled.","Betalingen er annulleret."
"Pending bank transfer created.","Afventende bankoverførsel oprettet."
"Please pay your order now","Betal venligst ordren nu."
"Postepay (powered by Moneybookers) - Italy","Postepay (via Moneybookers) - Italien"
"Powered by Moneybookers","Drevet af Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (via Moneybookers) - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (via Moneybookers) - Tyskland"
"Sort Order","Sorteringsrækkefølge"
"The amount has been authorized and captured by Moneybookers.","Beløbet er autoriseret og hævet af Moneybookers."
"The customer was redirected to Moneybookers.","Kunden blev videresendt til Moneybookers."
"The order has been canceled.","Ordren er annulleret."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","Du vil blive sendt videre til vores sikrede betalingsside efter godkendelse af ordren."
"eNETS (powered by Moneybookers) - Singapore","eNETS (via Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (via Moneybookers) - Holland"
